i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
39,5747.253487293537,3021.3761895595453,1967.5462866660876,0.0,0.0,0.0,220.820556640625,189.04345703125,223.83447265625,1.0,1.0,1.0
40,-2825.0175698353696,3867.6054376064203,2072.876242720775,0.0,0.0,0.0,262.37908935546875,303.553466796875,290.8868408203125,1.0,1.0,1.0
41,-2045.9412758900569,461.7297051845453,373.1840735313218,0.0,0.0,0.0,170.47308349609375,185.514892578125,160.12686157226562,1.0,1.0,1.0
42,3442.0215536997866,-869.4900213779547,1663.6982031699936,0.0,0.0,0.0,228.225830078125,215.038330078125,212.05389404296875,1.0,1.0,1.0
43,-4521.648856456463,-1897.5388495029547,-424.70291987688125,0.0,0.0,0.0,618.068603515625,573.962646484375,560.167236328125,1.0,1.0,1.0
44,-3863.0758584095884,-402.3674627842047,-150.50515071184216,0.0,0.0,0.0,646.604248046875,542.763427734375,642.1234588623047,1.0,1.0,1.0
45,1356.4915854380681,-860.8928534092047,-234.5945214393812,0.0,0.0,0.0,647.7321166992188,540.322998046875,630.8035278320312,1.0,1.0,1.0
46,-3058.5849526478696,2925.375090926733,1716.0934058067126,0.0,0.0,0.0,242.69403076171875,280.0792236328125,255.970458984375,1.0,1.0,1.0
47,1638.0289999888494,-1172.9350897373297,1003.7505102988999,0.0,0.0,0.0,199.3824462890625,163.26904296875,205.891357421875,1.0,1.0,1.0
48,981.2791220591619,-963.2109686435797,1843.6534644004623,0.0,0.0,0.0,244.189208984375,271.73095703125,289.156982421875,1.0,1.0,1.0
49,-6264.845877940838,2142.970305770483,125.06453617780622,0.0,0.0,0.0,180.81201171875,211.5001220703125,209.8548583984375,1.0,1.0,1.0
50,6088.121651356037,-195.0508123935797,1211.2397681113998,0.0,0.0,0.0,234.741943359375,217.24560546875,200.197998046875,1.0,1.0,1.0
51,4931.170235340412,-2165.1304022373297,1868.3709936973373,0.0,0.0,0.0,259.60302734375,286.9970703125,268.45263671875,1.0,1.0,1.0
52,-3181.1010048939634,2644.485198348608,230.06230839460306,0.0,0.0,0.0,228.7353515625,201.6051025390625,195.05477905273438,1.0,1.0,1.0
53,-7136.100516612713,2379.291106551733,1258.484641158275,0.0,0.0,0.0,140.706787109375,175.7496337890625,173.98974609375,1.0,1.0,1.0
54,-6724.677420909588,-3134.1079412998297,-1727.5318993690687,0.0,0.0,0.0,518.359375,599.546875,514.9174194335938,1.0,1.0,1.0
55,629.4441611216619,-4984.94241395608,-2066.953957474537,0.0,0.0,0.0,508.91259765625,608.68310546875,593.900390625,1.0,1.0,1.0
56,-1575.2543747975276,-3366.4331366123297,-1410.4569176796156,0.0,0.0,0.0,612.229564666748,576.9169921875,566.4510192871094,1.0,1.0,1.0
57,6533.993721668537,3267.833342879858,1830.9825659629626,0.0,0.0,0.0,237.652587890625,259.4757080078125,262.0966796875,1.0,1.0,1.0
58,-228.2473366810725,-645.2439276279547,1084.233725630931,0.0,0.0,0.0,104.12924194335938,144.541259765625,144.85797119140625,1.0,1.0,1.0
59,6418.199776356037,4907.033110946264,2180.4305640098373,0.0,0.0,0.0,225.927001953125,201.58319091796875,238.876953125,1.0,1.0,1.0
60,500.2627036021306,1712.0763848720453,826.1265478965562,0.0,0.0,0.0,172.04815673828125,158.975341796875,155.61419677734375,1.0,1.0,1.0
61,4385.411202137287,4075.110442489233,1150.5023413535876,0.0,0.0,0.0,260.354248046875,276.7493896484375,311.4771728515625,1.0,1.0,1.0
62,-7576.359061534588,4115.828399032202,1758.2361670371813,0.0,0.0,0.0,267.9052734375,285.39312744140625,308.28546142578125,1.0,1.0,1.0
