i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
52,500.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
53,600.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
54,700.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
55,800.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
56,900.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
57,-900.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
58,-800.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
59,-700.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
60,-600.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
61,-500.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
62,-400.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
63,-300.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
64,-200.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
65,-100.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
66,0.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
67,100.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
68,200.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
69,300.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
